"ID_MESA","LAT","LON","cluster"
"100320112000000101","-19.16197","-65.26525",3
"100320112000000102","-19.16197","-65.26525",1
"100320112000000103","-19.16197","-65.26525",1
"100320112000000104","-19.16197","-65.26525",1
"100320112000000105","-19.16197","-65.26525",1
"100320112000000106","-19.16197","-65.26525",1
"100320112000000201","-19.16187","-65.26758",1
"100320112000000202","-19.16187","-65.26758",1
"100320112000000203","-19.16187","-65.26758",1
"100320112000000204","-19.16187","-65.26758",2
"100320112000000205","-19.16187","-65.26758",1
"100320112000000206","-19.16187","-65.26758",1
"100320112040005201","-19.07256","-65.15241",3
"100320112050005301","-18.99047","-65.43951",3
"100320112050005302","-18.99047","-65.43951",3
"100320112060005401","-18.82506","-65.1201",3
"100320112060005402","-18.82506","-65.1201",3
"100320112060005403","-18.82506","-65.1201",3
"100320112070005501","-18.77743","-65.12765",3
"100320112070005502","-18.77743","-65.12765",3
"100320112070005503","-18.77743","-65.12765",3
"100320112070005504","-18.77743","-65.12765",3
"100320112080005601","-18.63784","-65.1773",3
"100320112080005602","-18.63784","-65.1773",3
"100320112140000101","-19.15824","-65.32174",3
"100320112150000101","-19.26145","-65.3103",3
"100320112180005801","-18.95657","-65.37293",1
"100320112180005802","-18.95657","-65.37293",3
"100320112190005901","-18.95262","-65.12672",3
"100320112190005902","-18.95262","-65.12672",3
"100320112190005903","-18.95262","-65.12672",3
"100320112190005904","-18.95262","-65.12672",3
"100320112200006001","-18.89784","-65.17965",1
"100320112200006002","-18.89784","-65.17965",3
"100320112210006101","-18.89592","-65.11092",1
"100320112210006102","-18.89592","-65.11092",1
"100320112210006103","-18.89592","-65.11092",1
"100320112230006201","-19.0159","-65.53341",3
"100320112230006202","-19.0159","-65.53341",3
"100320112230006203","-19.0159","-65.53341",3
"100320112230006204","-19.0159","-65.53341",3
"100320112230006205","-19.0159","-65.53341",3
"100320112240000101","-19.24057","-65.1908",3
"100320112250006301","-19.11972","-65.377",1
"100320112250006302","-19.11972","-65.377",1
"100320112250006303","-19.11972","-65.377",3
"100320112300006501","-19.05204","-65.4332",3
"100320112300006502","-19.05204","-65.4332",3
"100320112380000101","-19.33957","-65.21132",3
"100320112420000101","-18.53917","-65.42594",3
"100320112420000102","-18.53917","-65.42594",3
"100320112420000103","-18.53917","-65.42594",3
"100320112420000104","-18.53917","-65.42594",3
"100320112420000105","-18.53917","-65.42594",3
"100320112420000106","-18.53917","-65.42594",3
"100320112460000101","-18.45855","-65.59436",3
"100320112460000102","-18.45855","-65.59436",3
"100320112460000103","-18.45855","-65.59436",3
"100320112480000101","-18.79455","-65.32699",3
"100320112480000102","-18.79455","-65.32699",3
"100320112530000101","-18.62391","-65.2855",3
"100320112530000102","-18.62391","-65.2855",3
"100320112590000101","-18.72523","-65.27885",3
"100320112600000101","-18.78213","-65.21857",3
"100320112620006601","-18.62139","-65.24233",3
"100320112630000101","-18.74838","-65.40269",3
"100320112640000101","-20.10486","-64.41391",3
"100320112640000102","-20.10486","-64.41391",1
"100320112640000103","-20.10486","-64.41391",1
"100320112640000104","-20.10486","-64.41391",1
"100320112640000105","-20.10486","-64.41391",1
"100320112640000106","-20.10486","-64.41391",1
"100320112640000107","-20.10486","-64.41391",3
"100320112640000108","-20.10486","-64.41391",1
"100320112640000109","-20.10486","-64.41391",1
"100320112690000101","-19.9672","-64.3971",3
"100320112700000101","-20.23491","-64.48476",3
