RECI,idloc,id_rec,dep,"nomdep",PROV,"nomprov",sec,"nombremunicipio","AsientoElectoral",dist,"nomdist",zona,"nomzona",CIRCUNDIST,"nombrerecinto",Habilitados,Inhabilitados,Depurados,"NombreReci","NombreMuni","AsientoEle",latitud,longitud,density,CANTIDAD DE MESAS,x,y
1,2617,1003208261700001,8,"Beni",7,"Mamoré",2,"San Ramón","Poyori",0,"SIN DISTRITO",0,"SIN ZONA",61,"Esc. El Poyori",52,0,3,"Esc. El Poyori","San Ramón","Poyori",-13.00931,-64.42094,0.6158316518533329,1,2248.1,3036.379449999845
1,3927,1003207392700001,7,"Santa Cruz",3,"Velasco",1,"San Ignacio","San Simon",1,"SIN DISTRITO",1,"San Simon",54,"U.E. Jose Pessoa",79,0,0,"U.E. Jose Pessoa","San Ignacio","San Simon",-15.46235,-60.89307,1.0876879767435117,1,3042.93,2571.658101450136
25309,3998,1003203399825309,3,"Cochabamba",2,"Campero",2,"Pasorapa","Yajo Pampa",0,"SIN DISTRITO",0,"SIN ZONA",25,"Sede Sindical Yajo Pampa",61,0,2,"Sede Sindical Yajo Pampa","Pasorapa","Yajo Pampa",-18.1366,-64.5593,13.287998478360766,1,2069.62,1355.8068380001357
470,2831,1003205283100470,5,"Potosí",3,"Cornelio Saavedra",2,"Chaquí","El Palomar",0,"SIN DISTRITO",0,"SIN ZONA",35,"Esc. Central El Palomar",245,5,35,"Esc. Central El Palomar","Chaquí","El Palomar",-19.65397,-65.414705,13.714335079704588,2,1919.09,757.5033284063475
25931,922,1003203092225931,3,"Cochabamba",7,"Capinota",3,"Sicaya","Orcoma",0,"SIN DISTRITO",0,"SIN ZONA",26,"U. E. Orcoma",707,1,58,"U. E. Orcoma","Sicaya","Orcoma",-17.749111,-66.355109,24.649241296558376,4,1463.85,1043.3396520004935
25681,963,1003203096325681,3,"Cochabamba",9,"Quillacollo",5,"Colcapirhua","Colcapirhua",0,"SIN DISTRITO",1,"Colcapirhua Central",28,"U.E. 27 de Mayo",352,3,0,"U.E. 27 de Mayo","Colcapirhua","Colcapirhua",-17.392367,-66.249885,1636.6862098040197,2,1500.3,1601.1268719715965
1,1865,1003206186500001,6,"Tarija",1,"Cercado",1,"Tarija","Yesera Centro",0,"SIN DISTRITO",0,"SIN ZONA",41,"U.E. Yesera Centro",279,0,19,"U.E. Yesera Centro","Tarija","Yesera Centro",-21.41345,-64.5505,6.750261916787497,2,2284.53,619.6905194999649
1,1340,1003201134000001,1,"Chuquisaca",5,"Hernando Siles",1,"Monteagudo","San Juan del Pirai",0,"SIN DISTRITO",0,"SIN ZONA",4,"Escuela 6 de Junio",447,4,45,"Escuela 6 de Junio","Monteagudo","San Juan del Pirai",-20.33284,-64.11983,4.895137948066703,2,2278.99,717.0452569360041
2111,729,1003202072902111,2,"La Paz",1,"Murillo",1,"Nuestra Señora de La Paz","Nuestra Señora de La Paz",21,"DISTRITO 21",2103,"SAN PEDRO BAJO",8,"(Cárcel) Panóptico",730,5,66,"(Cárcel) Panóptico","Nuestra Señora de La Paz","Nuestra Señora de La Paz",-16.50283,-68.13491,4997.4421760387795,4,1269.67,2301.5466683711247
2628,437,1003202043702628,2,"La Paz",10,"Inquisivi",4,"Colquiri","Lanza (Mohoza)",0,"SIN DISTRITO",0,"SIN ZONA",17,"Escuela Jose Miguel Lanza",543,3,47,"Escuela Jose Miguel Lanza","Colquiri","Lanza (Mohoza)",-17.36096,-66.94537,9.023624005324322,3,1385.37,1668.428771039717
