latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-34.5,-58.5,90,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Centro Educativo Ns N° 30  De 8 De Nivel Secundario","AV. Eva Peron 1502, Calle Miro y Primera Junta",9,1945,-34.6036844,-58.3815591,0,1945,"Centro Educativo Ns  N° 30  De 8 De Nivel Secundario",9,"C.A. Buenos Aires",1101110361125161,31.6624,485.411,126.6208498543196
-34.5,-58.5,93,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Esc. de Educacion Media N° 06/01° Padre Carlos Mugica","Calle Letonia y Av. Antartida Argentina, Buenos Aires Argentina",9,2058,-34.6036844,-58.3815591,0,2058,"Esc. de Educacion Media N° 06/01° Padre Carlos Mugica",9,"C.A. Buenos Aires",1101110361125058,31.6624,485.411,126.6208498543196
-34.5,-58.5,98,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Esc. De Educación Media N° 02/13° Escuela del Parque","Avenida Lacarra 1151,  San Pedro, Francisco Bilbao",10,2212,-34.6036844,-58.3815591,0,2212,"Esc. De Educación Media N° 02/13° Escuela del Parque",10,"C.A. Buenos Aires",1101110361125056,31.6624,485.411,126.6208498543196
-34.5,-58.5,102,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea","Murguiondo 76, Capital Federal Liniers, Rivadavia (11008) y Lorenzo Falcon",11,2422,-34.6036844,-58.3815591,0,2422,"Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ",11,"C.A. Buenos Aires",1101110361125166,31.6624,485.411,126.6208498543196
-34.5,-58.5,121,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Esc. Primaria Común Nº 16 Presidente Bartolome Mitre","Sarmiento 2832",13,2958,-34.6036844,-58.3815591,0,2958,"Esc. Primaria Común Nº 16 Presidente Bartolome Mitre",13,"C.A. Buenos Aires",1101110361125055,31.6624,485.411,126.6208498543196
-34.5,-58.5,125,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela Jornada Simple N° 22 De 13 Santa Maria de Bs. As","Echeandia 5650, Capital Federal Villa Lugano, avenida Larrazabal y Oliden",13,3084,-34.6036844,-58.3815591,0,3084,"Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As",13,"C.A. Buenos Aires",1101110361125174,31.6624,485.411,126.6208498543196
-34.25,-58.75,99,"Argentina","Buenos Aires","Escobar","Escobar","Belén de Escobar","Escobar-Esc. Secundaria Basica Nº23","Los Perales 2524, Esq Orquideas y Azucenas, Belén de Escobar, Buenos Aires, Argentina",10,2280,-34.3379903,-58.7768132,0,2280,"Escobar-Esc. Secundaria Basica Nº23",10,"Escobar",1101110414125146,3.648,350.976,176.55811325614627
-33.75,-69,81,"Argentina","Mendoza","San Carlos","San Carlos","Villa San Carlos","Escuela Fuerte San Carlos","Calle Independencia y Valle, San Carlos, Mendoza, Argentina",6,1375,-33.7723286,-69.0414028,-234,1609,"Escuela Fuerte San Carlos",7,"San Carlos",1101111414525150,2.2,124.302,71.49371410286697
-33.5,-70.75,144,"Chile","Metropolitana","Santiago","Santiago","Santiago","Parroquia Latinoamericana Nuestra Señora De Pompeya","Gral Bustamante 180, Providencia, Región Metropolitana, Chile",17,3983,-33.4437339,-70.6306261,0,3983,"Parroquia Latinoamericana Nuestra Señora De Pompeya",17,"Santiago",1104436377925104,6.3728,85.8489,108.90426095979852
-33.25,-69,104,"Argentina","Mendoza","Luján de Cuyo","Luján de Cuyo","Ugarteche","Escuela Luis Baldini","Ruta Provinsial 15 Km. 36 Cruce ruta provincial 86, Provincia de Mendoza, Argentina",11,2531,-33.2012158,-68.8908216,0,2531,"Escuela Luis Baldini",11,"Luján de Cuyo",1101111414425149,4.0496,134.41,120.31437025362737
