latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-16,-57.75,15,"Brasil","Mato Grosso","Cáceres","Cáceres","Cáceres","Instituto Educacional de Cáceres Ltda","R. Bom Jardim, 2-78 - Centro, Cáceres - MT, 78200-000, Brasil",1,141,-16.0704462,-57.6941258,0,141,"Instituto Educacional de Cáceres Ltda",1,"Cáceres",1103434377725102,0.2256,440.562,387.18951392272925
-15.75,-70,19,"Perú","Puno","Puno","Puno","Puno","Consulado","Jiron Cajamarca N 664",1,156,-15.8418365,-70.0289382,0,156,"Consulado",1,"Puno",1118246378925114,0.2496,261.905,397.3236626116563
-15.75,-48,9,"Brasil","Distr. Federal","Brasilia","Brasilia","Brasilia","Embajada de Bolivia","Quadra 809, Lote, Av. das Nações, 34, Cachoeira Dourada - MG, 38370-000,
Brasil",1,96,-15.8106145,-47.878755,0,96,"Embajada de Bolivia",1,"Brasilia",1103432377525100,0.1536,526.378,382.3930017541942
-13.5,-72,10,"Perú","Cusco","Cusco","Cusco","Cusco","Consulado de Bolivia","Oswaldo Baca 101, Cusco 08003, Perú",1,97,-13.5258534,-71.9479521,0,97,"Consulado de Bolivia",1,"Cusco",1118245378825113,0.1552,212.104,389.8921179973081
-12,-77,54,"Perú","Lima","Lima","Lima","Lima","Consulado","Calle los Castaños 206-240, San Isidro 15076, Perú",3,603,-12.0725195,-77.0368255,0,603,"Consulado",3,"Lima",1118244378725112,0.9648,128.853,356.1290063675097
-11,-68.75,6,"Brasil","Acre","Brasilea","Epitaciolândia","Epitaciolândia","Escuela Estadual Brasil Bolivia","R. Sao Raimundo, 26 Vila Vitoria",1,68,-11.0298343,-68.7404913,0,68,"Escuela Estadual Brasil Bolivia",1,"Epitaciolândia",1103479389626114,0.1088,278.407,401.8353386564048
-10.75,-65.25,56,"Brasil","Rondonia","Guajara Mirim","Guajara Mirim","Guajara Mirim","Consulado","Av. 15 de Novembro, 255 - St. 01, Guajará-Mirim - RO, 76850-000, Brasil",3,710,-10.791069,-65.3455069,0,710,"Consulado",3,"Guajara Mirim",1103435377825103,1.136,352.005,403.010687314046
-0.25,-78.5,23,"Ecuador","Pichincha","Quito","Quito","Quito","Embajada","Avenida Eloy Alfaro y Fernando Ayarza 2432",1,226,-0.1386874,-78.4675546,0,226,"Embajada",1,"Quito",1106142378525110,0.3616,185.432,393.13907233761597
4.75,-74,24,"Colombia","Cundinamarca","Bogotá","Bogotá","Bogotá","Embajada","Carrera. 9B #113-37, Zona Santa Barbara, Bogotá, Colombia",1,227,4.6390243,-74.0978715,0,227,"Embajada - Bogota",1,"Bogotá",1104941378425109,0.3632,247.191,407.95876600863517
10,-84,16,"Costa Rica","San José","San José","San José","San José","Embajada","A018, Freses, San José, Curridabat, 11801, Costa Rica",1,143,9.9426465,-84.1241732,0,143,"Embajada - San José",1,"San José - San José",1105351379425119,0.2288,165.873,397.4671069636322
10.5,-67,25,"Venezuela","Distr. Federal","Caracas","Caracas","Caracas","Escuela Experimental Venezuela","Patrimonio Cultural No. 012-2002 Av. México - Caracas. Distrito",1,230,10.5011176,-66.8990937,0,230,"Escuela Experimental Venezuela",1,"Caracas",1123750379325118,0.368,345.716,418.0720406579322
12.25,-86.25,4,"Nicaragua","Managua","Managua","Managua","Managua","Embajada","Walmart, de Semaforos del Guanacaste 100 mts al sur 150mts al oeste, casa N° 73., Managua 12068, Nicaragua",1,34,12.1344705,-86.2836257,0,34,"Embajada",1,"Managua",1117195439026102,0.0544,155.14,398.21022557168544
19.5,-99.25,36,"México","México D.F.","México D.F.","México D.F.","México D.F.","Embajada","Anzures, 11590 Ciudad de México, CDMX, México",2,372,19.4283466,-99.1663037,0,372,"Embajada",2,"México D.F.",1115454379725122,0.5952,107.701,398.3584105098367
23.25,-82.25,40,"Cuba","La Habana","La Habana","La Habana","La Habana","Embajada","Calle 44 N° 305, entre 3ra. y 3ra.  Reparto Miramar, Playa",2,399,23.1383326,-82.348583,0,399,"Embajada",2,"La Habana",1105552379526116,0.6384,181.09,413.63412267490986
26,-80.25,58,"Estados Unidos","Florida","Miami-Dade","Miami-Dade","Miami","Sistema Universitario Ana  G. Mendez","15201  NW T9TH CT, MIAMI IAKES, FL33016",4,780,25.9113667,-80.3291926,0,780,"Sistema Universitario Ana  G. Mendez",4,"Miami-Dade",1106226376925094,1.248,210.521,422.2804389359512
28.5,77.25,0,"India","Delhi","Delhi","Nueva Delhi","Nueva Delhi","Embajada","14/15 First Floor, E block, Vasant Vihar, behind E block Market, Block E, Vasant Vihar, New Delhi, Delhi 110057, India",1,9,28.5991797,77.218983,0,9,"Embajada",1,"Nueva Delhi",1110768381125136,0.0144,1095.61,336.2595711550607
29.75,-95.25,43,"Estados Unidos","Texas","Harris","Harris","Houston","Consulado General Houston","2401  Fountain View Dr. Suite 110 Houston Texas, 77057",2,445,29.7604267,-95.3698028,0,445,"Consulado General Houston",2,"Harris",1106286407426119,0.712,121.276,428.625856250478
30,31.25,2,"Egipto","El Cairo","El Cairo","El Cairo","El Cairo","Embajada","21B Amman St. Mohy El Din About El Ezz Dokki, Giza",1,14,30.0623436,31.222592,0,14,"Embajada",1,"El Cairo",1106367381025135,0.0224,1035.13,305.8534442035619
34,-118.25,45,"Estados Unidos","California","Los Angeles","Los Angeles","Los Angeles","Orange County Educational Arts Academy","Broadway N 825, Santa Ana, CA 92701, EE. UU.",2,478,34.0694355,-118.1672019,0,478,"Orange County Educational Arts Academy",2,"Los Angeles",1106225376825093,0.7648,68.9328,434.63449578288345
35.75,51.5,1,"Irán","Teherán","Teherán","Teherán","Teherán","Embajada","79. Ghareh Tapei St., Saadat Abad, Ave, Teheran",1,11,35.7679301,51.4486796,0,11,"Embajada",1,"Teherán",1111469381225137,0.0176,1063.21,356.68719995744135
35.75,139.75,29,"Japón","Kanto","Tokio","Tokio","Tokio","Embajada","No. 38 Kowa Building 8th Floor, Room 804, Nishi- Azabu 4-12-24, Minato-ku",1,249,35.676904,139.739676,0,249,"Embajada",1,"Tokio",1112971381425139,0.3984,1183.97,372.85212940910594
36.75,-4.5,31,"España","Andalucia","Málaga","Málaga","Málaga","Centro de Acción Exterior del Ayuntamiento de Málaga","Calle Muro de San Julian No 33 (Código postal 29008)",2,275,36.7202301,-4.4149224,0,275,"Centro de Acción Exterior del Ayunatamiento de Málaga",2,"Málaga",1106730439226104,0.44,799.439,295.55089852367365
37.25,-3.5,61,"España","Andalucia","Granada","Granada","Granada","Centro Cívico Zaidín","Calle Andres Segovia N 60, Zaidín, 18007 Granada, España",4,809,37.1579898,-3.5957935,0,809,"Centro Cívico Zaidín",4,"Granada",1106730439326105,1.2944,792.133,304.90698265080994
37.5,-6,138,"España","Andalucia","Sevilla","Sevilla","Sevilla","Centro Social Polivalente Hogar Virgen De Los Reyes","Calle Fray Isidoro de Sevilla, 1, 41009 Sevilla, España",16,3623,37.4045723,-5.9855266,0,3623,"Centro Social Polivalente Hogar Virgen De Los Reyes",16,"Sevilla",1106730377325098,5.7968,659.244,368.37415962091524
37.5,127,3,"República De Corea Del Sur","Seúl","Seúl","Seúl","Seúl","Embajada","Euljiro 6(yuk)-ga, Jung- gu, Seúl, Corea del Sur",1,28,37.5694395,126.9788251,0,28,"Embajada",1,"Seúl",1105273381625141,0.0448,1165.8,383.6263852048588
38,-1.25,157,"España","Murcia","Murcia","Murcia","Murcia","Camara de Comercio de Murcia","Plaza de San Bartolome, 3 CP-30004",32,7576,37.9851608,-1.1309282,-239,7815,"Camara de Comercio de Murcia",33,"Murcia",1106727377026118,12.1216,860.086,288.1814656831829
38.75,-77.25,136,"Estados Unidos","Virginia","Fairfax","Fairfax","Fairfax Springfield","Lee High School","Lee Highway, 6540 Franconia Rd, Springfield, VA 22150",15,3409,38.7807265,-77.1703083,0,3409,"Lee High School",15,"Fairfax",1106213415625068,5.4544,225.223,455.2055578560658
38.75,-77,100,"Estados Unidos","Virginia","Arlington","Arlington","Arlington","Drew Model Elementary School","3500 23rd St S, Arlington, VA 22206, EE. UU.",10,2329,38.8484488,-77.0868857,0,2329,"Drew Model Elementary School",10,"Arlington",1106213361425300,8.736,237.498,458.5591611408466
38.75,-77,129,"Estados Unidos","Virginia","Arlington","Arlington","Arlington","Wakefield High School","1325 S Dinwiddie St, Arlington, VA 22206, EE. UU.",14,3131,38.8477401,-77.1117173,0,3131,"Wakefield High School",14,"Arlington",1106213361425301,8.736,233.83,458.49787528761
39,-77,17,"Panamá","Panamá","Panamá","Panamá","Panamá","Embajada","Calle Andres Bello, Zona El Cangrejo",1,152,38.9228248,-77.0578767,0,152,"Embajada",1,"Panamá",1118053379625121,3.424,241.522,462.15429472105143
39,-77,30,"Estados Unidos","Dist. Columbia","Washington D.C.","Washington D.C.","Washington D.C.","Carlos Rosario International Public Charter School","1100 Harvard St NW, Washington, DC 20009, EE. UU.",1,251,38.9263689,-77.0276499,0,251,"Carlos Rosario International Public Charter School",1,"Washington D.C.",1106224376725092,3.424,245.918,462.3518277447604
39,-77,86,"Estados Unidos","Maryland","Montgomery","Montgomery","Wheaton","Casa of Maryland","8151 15th Ave, Adelphi, MD 20783, EE. UU.",8,1737,39.0398469,-77.0567576,0,1737,"Casa of Maryland",8,"Montgomery",1106219362025085,3.424,241.275,467.7417475456287
39.5,-0.25,163,"España","Valencia","Valencia","Valencia","Valencia","Universidad Politécnica De Valencia","Camí de Vera, s/n, 46022 València, España",39,9213,39.4807985,-0.3406299,0,9213,"Universidad Politécnica De Valencia",39,"Valencia",1106717361825076,14.7408,842.287,354.78736793973405
39.5,2.75,110,"España","Islas Baleares","Palma de Mallorca","Palma de Mallorca","Palma de Mallorca","Centro Educativo Infantil y Primaria CEIP Aina Moll i Marques","Plaza del Bisbe de Palou 6",10,2388,39.5765961,2.6490275,-239,2627,"Centro Educativo Infantil y Primaria CEIP Aina Moll i Marques",11,"Palma de Mallorca",1106731377426117,3.8208,964.307,274.67760823903524
40,116.5,5,"China","Beijing","Beijing","Beijíng","Beijín","Embajada","Liang Ma He (Sur)N 14, Distrito Chaoyang",1,61,39.943989,116.456022,0,61,"Embajada",1,"Beijing",1104570381325138,0.0976,1150.8,391.6293343477973
40.5,-3.75,143,"España","Madrid","Madrid","Madrid","Madrid","Colegio Público República Del Uruguay","Av. de Ntra. Sra. de Valvanera, 120, 28047 Madrid, España",17,3949,40.3936446,-3.7414469,0,3949,"Colegio Público República Del Uruguay",17,"Madrid",1106715361625071,32.2304,664.346,408.6568433901064
40.5,-3.75,158,"España","Madrid","Madrid","Madrid","Madrid","Colegio Público Jorge Manrique","Plaza del Pintor Lucas, 17 28026 Madrid España",32,7444,40.3880939,-3.7103423,-478,7922,"Colegio Público Jorge Manrique",34,"Madrid",1106715361625072,32.2304,669.956,407.08127712421344
40.5,-3.75,162,"España","Madrid","Madrid","Madrid","Madrid","Instituto de Enseñanza Superior (IES) Cervantes","Calle de Embajadores, 70. CP 28012",37,8751,40.4059452,-3.7031945,-238,8989,"Instituto De Enseñanza Superior(Ies) Cervantes",38,"Madrid",1106715361625070,32.2304,669.741,408.45386773681145
40.75,-74,53,"Estados Unidos","New Jersey","New Jersey","Passaic","Passaic","St. John Lutheran Church of Passaic","140 Lexington Avenue,
Passaic, NJ 07055",3,599,40.8590306,-74.1227485,0,599,"Our Lady of Mt Carmel Catholic Church",3,"Passaic",1106281389525153,2.7616,341.139,482.9270091947775
40.75,-74,70,"Estados Unidos","New York","New York","New York","New York","Public School 69","77-02 37th Ave, Jackson Heights, NY 11372, EE. UU.",5,1127,40.748779,-73.888449,0,1127,"Public School 69 Jackson Heights",5,"New York",1106214361525069,2.7616,360.69,474.9726380907731
41.5,2,141,"España","Cataluña","Barcelona","Barcelona","Barcelona","Sala Polivalent Del Parc Del Nord","Ronda de Navacerrada, 47-37, 08207 Sabadell, Barcelona, España",16,3647,41.5700108,2.0936381,0,3647,"Sala Polivalent Del Parc Del Nord",16,"Barcelona",1106716361725075,5.8352,881.93,412.87461072201097
41.5,2.25,160,"España","Cataluña","Barcelona","Barcelona","Barcelona","Pabellon Municipal De Deportes","08901 Hospitalet de Llobregat, Barcelona, España",37,8669,41.3997155,2.2112157,0,8669,"Pabellon Municipal De Deportes",37,"Barcelona",1106716361725074,28.9984,907.463,385.4145560885348
41.5,2.25,164,"España","Cataluña","Barcelona","Barcelona","Barcelona","CEM Olimpics (Vall D’Hebron)","08035 Barcelona, España",40,9455,41.4276162,2.1451775,0,9455,"CEM Olimpics (Vall D’Hebron)",40,"Barcelona",1106716361725073,28.9984,897.617,392.36820502963656
41.75,-71.5,64,"Estados Unidos","Rodhe Island","Rodhe Island","Providence","Providence","Providence City Hall","25 Dorrance St, Providence, RI 02903, EE. UU.",2,468,41.824134,-71.412913,-468,936,"Providence City Hall",4,"Providence",1106280389425152,0.7488,384.433,477.614387170522
42,12.5,62,"Italia","Lazio","Roma","Roma","Roma","Iglesia Santa Maria Addolorata","Via Tagliamento  2, CP 00198, Roma RM, Italia",4,810,41.9182599,12.5007438,0,810,"Iglesia Santa Maria Adoloratta",4,"Roma",1112456379925124,1.296,1019.81,329.18013669320356
43.25,-3,156,"España","Euskadi","Vizcaya","Bilbao","Bilbao","Bilbao Exhibition Centre","Calle Ronda de Azkue, 48902 Baracaldo, Vizcaya, España",29,6807,43.2882308,-2.9907706,-478,7285,"Bilbao Exhibition Centre",31,"Bilbao",1106729377225097,10.8912,669.743,487.65172125521394
45.5,-75.75,12,"Canadá","Ontario","Ottawa","Ottawa","Ottawa","Embajada de Bolivia","Varette Building, 130 Albert St, Ottawa, ON K1P 1B1, Canadá",1,111,45.4210912,-75.6971174,0,111,"Embajada de Bolivia",1,"Ottawa",1104055379825123,0.1776,275.299,503.24348899812145
45.5,9.25,106,"Italia","Lombardía","Milán","Milán","Milán","Liceo Linguistico Manzoni","Via Grazia Deledda, 11, 20127 Milano MI, Italia",11,2562,45.4877014,9.2157091,0,2562,"Liceo Linguistico Manzoni",11,"Milán",1112457380125126,4.0992,987.713,425.21242608998097
45.75,9.75,132,"Italia","Lombardía","Bérgamo","Bérgamo","Bérgamo","Instituto Paritario Imiberg","Via Santa Lucia, 14, 24128 Bergamo BG, Italia",14,3229,45.6995932,9.6571957,0,3229,"Instituto Paritario Imiberg",14,"Bérgamo",1112457380025125,5.1664,997.517,433.7715550659172
46.25,6.25,74,"Suiza","Ginebra","Ginebra","Ginebra","Ginebra","Centro Solidario Paquis","Rue de Berne 72 1201 Ginebra",6,1309,46.2240891,6.1425831,0,1309,"Centro Solidario Paquis",6,"Ginebra",1121377382026120,2.0944,927.103,478.8441941101655
48.25,16.25,11,"Austria","Viena","Viena","Viena","Viena","Embajada","Prinz Eugen-Straße 18, 1040 Wien, Austria",1,100,48.1917317,16.3747087,0,100,"Embajada",1,"Viena",1101760380325128,0.16,1027.95,440.576949007976
48.75,2.25,57,"Francia","Ile de France","París","París","París","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","71 avenue henri-martin
75775 paris cedex 16",4,774,48.8638229,2.2765652,0,774,"Alcaldia del distrito n°16 (Mairie du 16e arrondissement)",4,"París",1107459380225127,1.2384,841.869,501.4947162080668
50.75,4.25,27,"Bélgica","Bruselas","Bruselas","Bruselas","Bruselas","Casa de America Latina","Rue du Collège 27, 1050 Ixelles, Bélgica",1,234,50.8322965,4.3692975,0,234,"Casa de America Latina",1,"Bruselas",1102462380525130,0.3744,901.538,505.70796063785116
51.5,0,83,"Inglaterra","Inglaterra","Inglaterra","Londres","Londres","ETC. Venues, Elephant & Castle, Avonmouth House","2 Avonmouth St, London SE1 6NX, Reino Unido",7,1640,51.4976018,-0.0975901,0,1640,"ETC. Venues, Elephant & Castle, Avonmouth House",7,"Londres",1110864380725132,2.624,728.995,510.2273575792158
52,4.25,14,"Países Bajos","Holanda","Holanda","La Haya","La Haya","Embajada","Nassauplein 2, La Haya",1,133,52.0836156,4.3130114,0,133,"Embajada",1,"La Haya",1109163380625131,0.2128,896.291,510.440074412766
52.5,13.25,32,"Alemania","Berlín","Berlín","Berlín","Berlín","Embajada","Wichmannstraße 6, 10787 Berlin",2,287,52.510443,13.345439,0,287,"Embajada",2,"Berlín",1100461380425129,0.4592,994.111,492.02986488650015
55.75,37.5,20,"Rusia","Distr. Federal","Moscú","Moscú","Moscú","Embajada","Posolstvo Bolivii v Moskve ul.
Serpukhovskiy Val, 8,
Moscow, Rusia, 115191",1,173,55.730931,37.623767,0,173,"Embajada",1,"Moscú",1119472381525140,0.2768,1047.84,458.2674506138263
59.25,18,48,"Suecia","Estocolmo","Estocolmo","Estocolmo","Estocolmo","ABF Stockholm","Sveavägen 41, Sala
Brantingrummet, Plan 1,
CP 111 83, Stockholm",3,497,59.3387001,18.060154,0,497,"ABF Bildning & Kultur",3,"Estocolmo",1121266380926124,0.7952,999.993,502.0083812075174
