ID_RECI,LAT,LON,HAB,INHAB,PAIS,N_MESAS,REC,MUN,BOL,CIU,PROV,DEP,URB,DEN_C,DEN
1100461380425129,52.5051076,13.3484428,268,11,Alemania,2,Embajada,Berlín,False,Berlín,Berlín,Berlín,exterior,exterior,2.5881922937275323
1101110361125055,-34.60668,-58.406240000000004,2466,800,Argentina,12,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,158.34377379147682
1101110361125056,-34.64503,-58.47635,1844,427,Argentina,9,Esc. De Educación Media N° 02/13° Escuela del Parque,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,436.6246673432518
1101110361125057,-34.64301629999999,-58.450119900000004,2704,364,Argentina,13,Escuela N° 22 De 11 Hipólito Bouchard,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,363.55461693736584
1101110361125058,-34.587028000000004,-58.369443999999994,1962,314,Argentina,9,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,71.31918337291948
1101110361125059,-34.658803000000006,-58.475156000000005,2626,457,Argentina,12,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,470.82703874819754
1101110361125157,-34.5960352,-58.3891957,1461,481,Argentina,7,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,96.67974935896962
1101110361125158,-34.6278436,-58.48805529999999,2322,264,Argentina,11,Colegio Nº 18 Dr. Alberto Larroque,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,355.2626570387056
1101110361125160,-34.6461888,-58.44132420000001,3330,370,Argentina,16,Escuela N° 12 De 19 José Enrique Rodo,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,335.5005482669721
1101110361125161,-34.633759999999995,-58.4447,1358,604,Argentina,7,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,347.50714707975385
1101110361125162,-34.621717499999995,-58.416567099999995,1008,522,Argentina,5,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,253.32280074551772
1101110361125163,-34.6422651,-58.5121938,1082,760,Argentina,5,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,237.5448005888791
1101110361125164,-34.646069,-58.457639,2431,429,Argentina,11,Escuela N° 4 De 11 Benjamín Zorrila,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,389.2127638899684
1101110361125165,-34.640107,-58.481799,1614,357,Argentina,8,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,398.8495895348412
1101110361125166,-34.6401064,-58.5186193,1791,695,Argentina,9,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,206.52371521056924
1101110361125167,-34.6376229,-58.5022798,1090,407,Argentina,5,Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,292.68626867871984
1101110361125168,-34.653569,-58.431824,2131,418,Argentina,10,Escuela Nº 13 D.E. 19 Presbítero Alberti,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,297.13317634825637
1101110361125169,-34.667496,-58.44496899999999,2456,575,Argentina,12,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,346.4193406152849
1101110361125172,-34.676596999999994,-58.480585,2259,623,Argentina,11,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,460.0203434146382
1101110361125173,-34.6410269,-58.5265914,2487,274,Argentina,12,Escuela N° 3 De 20 Republica Francesa,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,166.87039155096014
1101110361125174,-34.6667711,-58.4858488,2699,406,Argentina,13,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,406.45008945597704
1101110361125175,-34.648068,-58.481559,1066,585,Argentina,5,Escuela N° 16  de 13 Dr. Tomás A. Le Bretón,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,411.6123258679577
1101110361125189,-34.652239,-58.407359,1194,288,Argentina,6,Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla,C.A. Buenos Aires,False,Buenos Aires,Buenos Aires,Buenos Aires,exterior,exterior,188.91864069655958
