"LAT","LON","ID_RECI","HAB","INHAB","PAIS","N_MESAS","REC","MUN","BOL","CIU","PROV","DEP","URB","DEN_C"
-19.16197,-65.26525,"1003201120000001",1159,49,"Bolivia",6,"Colegio Gregorio Pacheco","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","11.192518377100001"
-19.16187,-65.26758,"1003201120000002",1140,35,"Bolivia",6,"Centro Educativo Santa Rosa","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","11.192518377100001"
-19.07256,-65.15241,"1003201120400052",118,20,"Bolivia",1,"Escuela Arabate","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","10.1377664793"
-18.99047,-65.43951,"1003201120500053",301,13,"Bolivia",2,"Escuela Seccional De Chaunaca","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","2.2056873881399999"
-18.82506,-65.1201,"1003201120600054",552,19,"Bolivia",3,"Unidad Educativa Chuqui Chuqui","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","50.3646774772999"
-18.77743,-65.12765,"1003201120700055",725,39,"Bolivia",4,"Escuela Fray Gabriel Maria Landini","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","14.239876146"
-18.63784,-65.1773,"1003201120800056",274,14,"Bolivia",2,"Escuela Fray Gabriel Mariscal","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","17.199990861"
-19.15824,-65.32174,"1003201121400001",187,13,"Bolivia",1,"Casa Posada de Huayllas","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","12.2718632644"
-19.26145,-65.3103,"1003201121500001",132,6,"Bolivia",1,"Escuela Tipaka","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","6.4216421519000004"
-18.95657,-65.37293,"1003201121800058",252,13,"Bolivia",2,"Escuela Punilla","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","8.8225315019499906"
-18.95262,-65.12672,"1003201121900059",695,28,"Bolivia",4,"Unidad Educativa La Palma","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","30.6112940474999"
-18.89784,-65.17965,"1003201122000060",264,3,"Bolivia",2,"Escuela José Sampa","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","12.638391692400001"
-18.89592,-65.11092,"1003201122100061",596,14,"Bolivia",3,"Unidad Educativa Luis Espinal","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","24.396602442900001"
-19.0159,-65.53341,"1003201122300062",988,35,"Bolivia",5,"U. Edu. Gualberto Villarroel","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","52.188829919500002"
-19.24057,-65.1908,"1003201122400001",154,2,"Bolivia",1,"Posta De Salud Y Salón De La Comunidad","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","57.679376546699899"
-19.11972,-65.377,"1003201122500063",588,34,"Bolivia",3,"Unidad Educativa Quila Quila","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","4.9645920414600004"
-19.05204,-65.4332,"1003201123000065",314,26,"Bolivia",2,"Colegio 24 de Septiembre - Maragua","Sucre",TRUE,NA,"Oropeza","Chuquisaca","periurbano","26.029293447299899"
-19.33957,-65.21132,"1003201123800001",127,1,"Bolivia",1,"Unidad Educativa Tuero Chico","Yotala",TRUE,NA,"Oropeza","Chuquisaca","periurbano","19.423797425499899"
-18.53917,-65.42594,"1003201124200001",1268,72,"Bolivia",6,"U. Edu. San Andres De Poroma","Poroma",TRUE,NA,"Oropeza","Chuquisaca","ruralaislado","11.9803539353"
