"ID_RECI","NumPaís","NombrePais","Ciudad","CIU","NumProv","nomprov","NumMuni","nombremunicipio","idloc","AsientoElectoral","NumDist","nomdist","NumZona","nomzona","CIRCUNDIST","RECI","REC","Mesa","HAB","INHAB","RECI_GEO_FID","PAIS","NumDep","DEP","PROV","MUN","Distrito","Zona","nomCircun","TipoCircunscripcion","Recinto","N_MESAS","Habilitados","LAT","LON","URB","DEN_C","BOL"
"1101110361125163",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25163,"Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield",1,1082,760,"Exterior: 0016","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield",5,1082,-34.6422651,-58.5121938,"exterior","exterior",FALSE
"1101110361125164",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25164,"Escuela N° 4 De 11 Benjamín Zorrila",1,2431,429,"Exterior: 0017","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Escuela N° 4 De 11 Benjamín Zorrila",11,2431,-34.646069,-58.457639,"exterior","exterior",FALSE
"1101110361125165",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25165,"Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra",1,1614,357,"Exterior: 0019","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra",8,1614,-34.640107,-58.481799,"exterior","exterior",FALSE
"1101110361125166",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25166,"Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ",1,1791,695,"Exterior: 0020","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ",9,1791,-34.6401064,-58.5186193,"exterior","exterior",FALSE
"1101110361125167",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25167,"Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto",1,1090,407,"Exterior: 0022","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto",5,1090,-34.6376229,-58.5022798,"exterior","exterior",FALSE
"1101110361125168",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25168,"Escuela Nº 13 D.E. 19 “Presbítero Alberti”",1,2131,418,NA,"Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Escuela Nº 13 D.E. 19 “Presbítero Alberti”",10,2131,-34.653569,-58.431824,"exterior","exterior",FALSE
"1101110361125169",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",105,"Zona E",0,25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",1,2456,575,"Exterior: 0025","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona E",NA,NA,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",12,2456,-34.667496,-58.444969,"exterior","exterior",FALSE
"1101110361125172",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",105,"Zona E",0,25172,"Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi",1,2259,623,"Exterior: 0027","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona E",NA,NA,"Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi",11,2259,-34.676597,-58.480585,"exterior","exterior",FALSE
"1101110361125173",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25173,"Escuela N° 3 De 20 Republica Francesa",1,2487,274,"Exterior: 0029","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Escuela N° 3 De 20 Republica Francesa",12,2487,-34.6410269,-58.5265914,"exterior","exterior",FALSE
"1101110361125174",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25174,"Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As",1,2699,406,"Exterior: 0031","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As",13,2699,-34.6667711,-58.4858488,"exterior","exterior",FALSE
