ID_RECI,X,Y
1100461380425129,-54.194190577558196,-8.800483816092067
1101110361125055,-58.477988749963735,-25.86146050701358
1101110361125056,-59.24851380411105,-26.138497210809824
1101110361125057,-58.853644007266034,-26.109455209427296
1101110361125058,-58.358489520658026,-25.78828068142076
1101110361125059,-59.305018804020925,-26.25397591069249
1101110361125157,-58.40680947678069,-25.78469280296133
1101110361125158,-59.405602600246354,-26.07523720642005
1101110361125160,-58.75792184622979,-26.143833609326933
1101110361125161,-58.769263216892604,-26.083565453638933
1101110361125162,-58.56114639603769,-25.97653297013528
1101110361125163,-60.09413526583516,-26.355634988888667
1101110361125164,-58.95844381960043,-26.109207379360306
1101110361125165,-59.342874424703155,-26.130180592348466
1101110361125166,-60.165541848449266,-26.375860531703474
1101110361125167,-59.82001525426816,-26.246679568053246
1101110361125168,-58.670810361537136,-26.195133265176025
1101110361125169,-58.877372918606454,-26.24439661018728
1101110361125172,-59.55478169017394,-26.44241526818954
1101110361125173,-60.267938886543114,-26.426510067025493
1101110361125174,-59.62089623723931,-26.38674626847724
1101110361125175,-59.38820100441311,-26.19872403925907
1101110361125189,-58.54727185511634,-26.151720675462478
1101110361125190,-58.58335358466295,-26.136265299181268
1101110361125191,-59.35010222151731,-26.39343593690087
1101110412925192,-61.06521467744442,-26.82860528087568
1101110413025060,-59.94397666573996,-26.69984906330179
1101110413025176,-59.600995729791066,-26.64634568717086
1101110413025177,-59.99957694952853,-26.746947107579004
1101110413025178,-60.16102275070891,-26.790620852449784
1101110413125179,-60.826236664156234,-26.81187317818458
1101110413225180,-60.85763475297916,-26.931315996383987
1101110413225181,-60.887837728418205,-26.928763119844515
1101110413325182,-60.65687289358328,-26.64561014813248
1101110413425183,-61.04940499880958,-27.013881014087026
1101110413525061,-60.016353821972686,-26.966119959216623
1101110413525185,-60.12450214198867,-26.914679407560925
1101110413625062,-59.45150034903615,-26.756954906445728
1101110413725184,-59.553563360322954,-26.819834245899777
1101110413825063,-58.31610277244606,-26.27986111584089
1101110413925186,-58.1774166852863,-26.011553868299234
1101110414025064,-57.94196146646372,-25.942441834297114
1101110414025187,-57.93807436104342,-25.891887813810726
1101110414025188,-57.970112164512216,-25.933114893923342
1101110414125146,-60.91336508662545,-26.464689945064315
1101110414225147,-61.26397400902082,-26.754084635582522
1101110436826080,-61.97474094780666,-27.067253654478964
1101110436926081,-60.32082633029015,-27.325494148118963
1101110437026082,-60.77427213390249,-27.158038832267508
1101110437126083,-58.223268383667474,-26.59018656388878
1101111361225065,-68.20882740516099,-26.749234389199664
1101111414325148,-67.714953474445,-26.831271782553557
1101111414425149,-68.10525081506378,-26.85089784565779
1101111414525150,-68.10846894761205,-26.93810640942253
1101111414625151,-67.07187716216077,-27.079253738229355
1101112361325066,-65.53551363132016,-26.613464675190592
1101112376025067,-67.01742596341752,-26.04162982106526
1101112437626088,-64.93850160751023,-26.698192530578304
1101112437726089,-64.4656842730564,-26.702705516230992
1101120376125086,-61.83400040655134,-26.866883947023002
1101121376225087,-63.83875451646626,-27.081902960298834
1101121376225154,-64.01915016107337,-27.099868038697764
1101121414725193,-63.1115551279172,-27.095902392348727
1101121437326085,-64.24160364637919,-27.211050766686853
1101121437426086,-65.05422999543305,-27.12648313991334
1101122376325088,-65.820174806815,-26.685417255694965
1101122376425089,-60.89205589752761,-25.58088040998331
1101122376525090,-63.34389145221863,-26.588895270850134
1101122438026092,-61.225869857151906,-25.796025542504992
1101123376625091,-63.52957139600391,-27.4446629441346
1101185407325303,-65.95585382939244,-27.508930673689054
1101185437226181,-64.74897004887859,-27.510115411594803
1101187437526087,-57.808033133632264,-25.168637639300595
1101188437826183,-67.4429051691898,-26.658503466166735
1101189437926091,-66.74344686995047,-27.270219625325595
1101190438126093,-68.1821249108856,-26.59000863923457
1101191438226094,-65.93547610432672,-27.124630327191227
1101192438326095,-65.0760985629632,-27.642143648189233
1101192438426096,-66.53583808935306,-27.62982112248511
1101193438526097,-65.28799866536028,-26.890076434299246
1101196439126103,-64.26296701831261,-27.336194991262445
1101760380325128,-53.521065198404536,-9.858650183201846
1003201120000001,-64.33707286438265,-21.00423471967125
1003201120000002,-64.39622762687567,-20.99986785112121
1003201120400052,-63.01448586376269,-20.331311089769017
1003201120500053,-65.58780604126316,-20.131047682097748
1003201120600054,-63.49465112125615,-19.14214211704394
1003201120700055,-63.57382557764664,-19.07962528138612
1003201120800056,-63.703892485975175,-18.993888217024885
1003201121400001,-65.05556691167541,-20.834768191002343
1003201121500001,-64.73390694478431,-20.99110545407303
1003201121800058,-65.38375606022177,-19.806277382318154
1003201121900059,-63.259232451015734,-19.476445878643467
1003201122000060,-63.58395540578279,-19.137297074068996
1003201122100061,-63.367618524724286,-19.280911003367425
1003201122300062,-65.6840389720017,-20.243770539543835
1003201122400001,-63.856313577169146,-21.007324778301836
1003201122500063,-65.39443428790229,-20.568848795427026
1003201123000065,-65.57315462120198,-20.325525359706088
1003201123800001,-64.06753047215675,-21.061115029898456
1003201124200001,-64.52745003257613,-19.141842266232707
1003201124600001,-65.04316738919874,-19.319747904664204
1003201124800001,-64.41991080909595,-19.187138090413665
1003201125300001,-64.03847807997273,-19.015359807787217
1003201125900001,-64.03246743126326,-19.04990340539603
1003201126000001,-63.78823212321237,-19.048851909932786
1003201126200066,-63.88182473297331,-18.987513138844765
1003201126300001,-64.78853306496138,-19.31983650170952
1003201126400001,-62.563023482510445,-21.237323220837506
1003201126900001,-62.533323794393695,-21.142157914785408
1003201127000001,-62.72452238871651,-21.30553046804787
1003201127100001,-62.67285814340212,-21.3398713248078
1003201127200001,-62.83818845384216,-21.311508321697957
1003201127300001,-62.89640809789324,-21.217643590535594
1003201127500001,-62.68798194035304,-21.128492460369273
1003201127600001,-62.61512939176752,-21.029919625836403
1003201127800001,-62.53978029302701,-20.915963851390217
1003201127900001,-62.89247196849183,-21.180791509110787
1003201128000001,-62.857709160112414,-21.110202091067272
1003201128100001,-62.97701421806408,-21.029355563692512
1003201128300001,-62.74205247996326,-20.281019519036477
1003201128300002,-62.75254532526259,-20.248141989947538
1003201128400001,-62.83883877486859,-19.960916928936104
1003201128700001,-63.0674689965382,-19.682665920793724
1003201128800001,-63.290345244981296,-19.26081563282342
1003201128900001,-63.235529523103146,-19.277711353248016
1003201129200001,-63.03338029406167,-19.49977717299244
1003201129300001,-62.91498179424949,-19.710204020244362
1003201129400001,-62.74835011504344,-19.91142443857715
1003201129500001,-62.81311718853348,-19.91668324758999
1003201129800001,-62.93036777184599,-20.803560282761044
1003201129900001,-62.89751194977341,-20.872370604960167
1003201130000001,-62.89421855473299,-20.955985458059548
1003201130300001,-62.830008561296346,-20.814710728443934
1003201130500001,-62.20111507560426,-20.57486678252668
1003201130530007,-62.22113243474943,-20.58803046037275
1003201130600001,-62.21474358400943,-20.46860304650702
1003201130700001,-62.08670310774003,-20.67772155188461
1003201130800001,-62.037241862740764,-20.71098490380045
1003201130900001,-61.99429369387831,-20.55995823164343
1003201131400001,-62.50946361788333,-20.415285265829375
1003201131500001,-62.514641767652506,-20.643923779681135
1003201131800001,-62.548092649431425,-20.806373754770842
1003201131800002,-62.54977785123395,-20.807509645415738
1003201131900001,-62.61493716858891,-20.62759371939829
1003201132400001,-62.3951589077077,-20.660283856823614
1003201132500001,-62.3432328518186,-20.781709432686874
1003201132600001,-62.35534771059229,-20.874872131494588
1003201133100001,-61.83818925676965,-20.912134136723566
1003201133100002,-61.82941970309077,-20.838389233348995
1003201133125719,-61.83398495800303,-20.926309721974846
1003201133130021,-61.831333902603696,-20.88576236480283
1003201133130022,-61.8199498570253,-20.913366789737925
1003201133200001,-62.006508242060136,-20.751993621952302
1003201133300001,-62.16086539074475,-20.972064723305714
1003201133500001,-62.0072853759482,-21.163956173889723
1003201133600001,-62.00098823252107,-21.000094314845143
1003201133700001,-62.19951336505273,-20.951409614565286
1003201134000001,-62.24297352533991,-21.30799724897561
1003201134100001,-62.370076781342874,-21.244174324943007
1003201134200001,-62.24965234057008,-21.072893915743833
1003201134400001,-62.04872695772757,-21.306196122912294
1003201134500001,-62.09746466422824,-21.45235043443318
1003201134600001,-61.986062352728084,-21.227397300681552
1003201134800001,-62.28918033571867,-21.41909505556481
1003201135000001,-61.892773583915826,-21.389501986822793
1003201135400001,-62.92744968305241,-20.572738707558983
1003201135400002,-62.92441180062093,-20.565082746858682
1003201135500001,-62.89740833930721,-20.11388719056359
1003201135700001,-62.91799984379284,-20.073481967570796
1003201135900001,-62.80465723589911,-20.247191433980777
1003201136000001,-63.09201636230303,-19.73620329337661
1003201136100001,-63.24320878251072,-20.908540225588993
1003201136300001,-63.261502342362554,-20.788874649646573
1003201136400001,-63.07156147543415,-20.64500290517253
1003201136500001,-63.29912214814753,-20.87022799944929
1003201137100001,-65.32422951569936,-21.874558625943337
1003201137100002,-65.36053264572485,-21.893208159378766
1003201137100003,-65.33142857057663,-21.879566506698332
1003201137200001,-64.99863245029314,-21.710923019509327
1003201137300001,-64.94493751193431,-21.673639083104636
1003201137400001,-64.67619324735716,-21.554963750219056
1003201137500001,-65.55088443221518,-22.00458042738878
1003201137600001,-65.60183931989903,-22.02892673331035
1003201137700001,-65.57785256855632,-22.047323549140007
1003201137900001,-65.16008723194705,-21.865575912624212
1003201138000001,-63.488231585276715,-21.343816295572932
1003201138100001,-65.78459575472503,-22.07070900070196
1003201138200001,-65.70803143646052,-22.05629996153311
1003201138300002,-64.44885451055153,-21.382253273634326
1003201138330023,-64.433997805892,-21.37290445581075
1003201138400001,-64.74563207959548,-21.522600736088574
1003201138500001,-64.35905741544885,-21.476488745397127
1003201138630024,-64.28053433733369,-21.425788795257734
1003201138700001,-63.0656161010781,-21.221893186747536
1003201138800001,-63.36341964438094,-21.242903835084807
1003201139000001,-65.01301104498985,-21.59782845645979
1003201139100001,-64.84689619740227,-21.480417682765435
1003201139200001,-63.080035530470916,-21.276966938008847
1003201139300001,-63.78790355942643,-21.224536103883676
1003201139400001,-63.853874930518366,-21.262492081880023
1003201139600001,-64.27938739666541,-21.395538859611708
1003201139700001,-63.95032840229978,-21.340785708896423
1003201139800001,-63.76078872032023,-21.317776340880958
1003201139900001,-63.29757084491283,-21.207128884713406
1003201140100001,-63.868018203969434,-21.535592800781167
1003201140200001,-63.96721585573602,-21.50329329260313
1003201140230025,-63.96866630405373,-21.50300014678536
1003201140300001,-63.69475547902424,-21.45600603033761
1003201140400001,-63.96321355544169,-21.558413049690543
1003201140800001,-63.44467809666524,-21.42478288650388
1003201140900001,-63.32635248142668,-21.39810195676829
1003201141000001,-63.429278696435944,-21.370201362512894
1003201141100001,-63.14033441645694,-21.372529168985324
1003201141300001,-62.78886997156644,-21.440267881816517
1003201141730008,-62.3528597168364,-20.326384022617628
1003201141900001,-62.56254415483069,-20.152551846299406
1003201142000001,-62.676339917945405,-19.933304865658123
1003201142100001,-62.14455881954449,-20.443257496019285
1003201142200001,-62.16920447724065,-20.37060181715151
1003201142300001,-62.08414220397987,-20.408317278409594
1003201142400001,-62.37002281966249,-20.217669667637594
1003201142500002,-62.544264715225495,-20.10414777355419
1003201142600001,-65.6835204000886,-22.144026931517935
1003201142700001,-65.76771825144945,-22.13352646486105
1003201142800001,-65.84137492044637,-22.22277968704022
1003201142900001,-65.84953705714322,-22.212807005626985
1003201143000001,-64.61014356432815,-21.69486535795948
1003201143030026,-64.61470952125113,-21.69511110615566
1003201143100001,-64.42833382350331,-21.660951753122575
1003201143200001,-64.90457063437478,-21.780325142076332
1003201143400001,-64.49711126155539,-21.700380606885787
1003201143500001,-64.9488776293135,-21.841723028966342
1003201143600001,-64.29588030703883,-21.656042309510042
1003201143700001,-64.74794014999738,-21.791101959666356
1003201143800001,-63.284152795278104,-21.51004694418252
1003201143900001,-63.18985178633282,-21.48446791568274
1003201144000001,-62.47645886206351,-21.511424534529635
1003201144300001,-62.88904811410701,-21.49106996835386
1003201144400001,-62.734948830096464,-21.527976758479312
1003201144600001,-63.12015086697191,-21.526538284891647
1003201144700001,-65.81849405522452,-22.277505158105612
1003201144800001,-65.83889061190615,-22.29086729433604
1003201144900001,-65.91192707783871,-22.38379960945563
1003201145000001,-65.92406023514309,-22.41299911282094
1003201145100001,-65.97831981167674,-22.420987516575845
1003201145200001,-65.95456993716006,-22.308170152463216
1003201145300001,-65.91687545000676,-22.30169514317175
1003201145400001,-65.942745511009,-22.481420045304056
1003201145600001,-61.60537787838252,-21.0132026699948
1003201145800001,-61.664139810818575,-21.35443634903394
1003201146000001,-61.858404082721485,-21.470928012666526
1003201146300001,-61.66813739711965,-21.18270140076783
