"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"1642","PRESIDENTE","11","Argentina","22","Salta","0","0","8","Orán","1","San Ramón de la Nueva Orán","3765","San Ramón de la Nueva Orán","25090","Escuela De Comercio Julio Cortez Nº 5091","5","136",0,16,2,6,3,"0","0","0","0","0","0","0","0","27","2","4","33","27","33",0,"110112237652509005"
"1650","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","3","220",1,101,1,1,2,"0","0","0","0","0","0","0","0","106","0","5","111","106","111",0,"110118540732530303"
"1651","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","4","220",2,107,0,0,2,"0","0","0","0","0","0","0","0","111","2","4","117","111","117",0,"110118540732530304"
"1652","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","5","220",2,108,1,2,3,"0","0","0","0","0","0","0","0","116","2","7","125","116","125",0,"110118540732530305"
"1653","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","6","220",3,83,2,2,2,"0","0","0","0","0","0","0","0","92","0","1","93","92","93",0,"110118540732530306"
"1654","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","7","220",2,66,1,4,3,"0","0","0","0","0","0","0","0","76","0","6","82","76","82",0,"110118540732530307"
"1662","PRESIDENTE","11","Argentina","87","Corrientes","0","0","1","Lavalle","1","Santa Lucía","4375","Santa Lucía","26087","Centro Integrador Comunitario de la Municipalidad de Santa Lucia (CIC)","1","220",1,110,4,2,8,"0","0","0","0","0","0","0","0","125","1","12","138","125","138",0,"110118743752608701"
"1666","PRESIDENTE","11","Argentina","88","La Rioja","0","0","1","Chilecito","1","Chilecito","4378","Vichigasta","26183","Salón de Jubilados de Vichigasta","3","54",0,34,0,0,0,"0","0","0","0","0","0","0","0","34","1","2","37","34","37",0,"110118843782618303"
"1684","PRESIDENTE","17","Austria","60","Viena","0","0","1","Viena","1","Viena","3803","Viena","25128","Embajada","1","90",2,16,0,0,36,"0","0","0","0","0","0","0","0","54","0","0","54","54","54",0,"110176038032512801"
"1728","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25200","Escuela Estadual Provincia de Nagasaki","15","220",3,144,2,0,8,"0","0","0","0","0","0","0","0","157","1","7","165","157","165",0,"110341836192520015"
