"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
1172,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",2,220,2,104,2,0,21,129,0,0,129,129,129,0,"110111036112519002"
1173,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",3,220,4,97,0,1,21,123,0,7,130,123,130,0,"110111036112519003"
1174,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",4,220,7,101,3,1,17,129,3,5,137,129,137,0,"110111036112519004"
1175,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",5,220,5,114,1,3,15,138,0,1,139,138,139,0,"110111036112519005"
1176,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",6,220,3,124,0,1,11,139,1,2,142,139,142,0,"110111036112519006"
1177,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",7,220,9,112,2,0,16,139,2,6,147,139,147,0,"110111036112519007"
1178,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",8,152,4,70,3,4,18,99,1,5,105,99,105,0,"110111036112519008"
1186,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25059,"Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia",8,220,5,146,1,1,9,162,1,3,166,162,166,0,"110111036112505908"
1191,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",1,220,4,144,1,2,7,158,3,4,165,158,165,0,"110111036112516901"
1197,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",7,220,3,150,0,0,5,158,0,2,160,158,160,0,"110111036112516907"
